Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
23,2018-05-09,07:03:00,07:04:00,0 days 00:01:00.000000000,1,3,2,4,2,12,4135,55,1487,7,0,1,1
0,2016-09-13,07:07:00,07:09:00,0 days 00:02:00.000000000,1,2,2,3,1,9,2879,31,2683,7,0,1,1
53,2018-01-08,07:50:00,08:04:00,0 days 00:14:00.000000000,7,3,2,4,2,3,4515,55,4652,7,1,1,1
38,2019-03-12,06:34:00,06:34:00,0 days 00:00:00.000000000,0,4,2,4,2,6,2391,27,1092,7,0,1,1
25,2017-03-15,07:10:00,07:16:00,0 days 00:06:00.000000000,1,2,2,9,2,4,1090,7,1029,1,0,1,1
23,2018-02-26,07:10:00,07:12:00,0 days 00:02:00.000000000,0,3,2,4,2,11,3700,44,4010,7,0,1,0
23,2017-11-16,07:35:00,07:38:00,0 days 00:03:00.000000000,0,3,2,4,2,6,2573,27,271,7,0,1,1
7,2018-12-13,06:30:00,06:32:00,0 days 00:02:00.000000000,0,4,2,4,2,7,2585,55,2717,7,1,1,1
0,2018-03-02,06:44:00,06:46:00,0 days 00:02:00.000000000,1,3,2,10,1,9,2845,31,3866,7,0,1,1
23,2019-03-21,07:10:00,07:13:00,0 days 00:03:00.000000000,7,4,2,4,2,4,1102,7,1030,1,0,1,1
53,2019-01-07,07:14:00,07:16:00,0 days 00:02:00.000000000,0,4,2,6,2,4,602,40,2589,7,1,1,1
38,2019-03-27,13:50:00,13:52:00,0 days 00:02:00.000000000,0,4,2,7,2,4,602,40,2211,9,0,1,0
30,2017-01-12,07:08:00,07:09:00,0 days 00:01:00.000000000,2,2,2,7,2,4,1350,21,3255,7,0,1,1
20,2015-12-01,07:35:00,07:38:00,0 days 00:03:00.000000000,5,1,1,4,2,3,20,19,3978,4,0,1,1
0,2018-01-17,09:08:00,09:28:00,0 days 00:20:00.000000000,0,3,2,6,1,9,3046,45,290,7,1,1,1
53,2019-01-08,08:12:00,08:13:00,0 days 00:01:00.000000000,0,4,2,4,2,6,2286,27,274,7,0,1,1
23,2017-12-05,05:50:00,05:58:00,0 days 00:08:00.000000000,0,3,2,7,2,3,4394,10,1971,1,0,1,0
20,2017-05-17,07:15:00,07:16:00,0 days 00:01:00.000000000,2,2,2,4,2,4,1563,9,1097,7,1,1,1
30,2017-02-16,07:40:00,07:40:00,0 days 00:00:00.000000000,3,2,1,4,2,3,69,19,2817,4,0,1,1
38,2017-12-04,06:43:00,06:43:00,0 days 00:00:00.000000000,0,3,2,4,2,6,1860,27,341,7,0,1,1
23,2017-09-19,07:30:00,07:53:00,0 days 00:23:00.000000000,5,3,1,4,2,4,102,36,3351,4,1,1,1
0,2015-12-02,07:45:00,08:01:00,0 days 00:16:00.000000000,6,1,2,4,2,3,5138,15,4234,7,1,1,1
20,2017-03-07,06:18:00,06:19:00,0 days 00:01:00.000000000,0,2,2,4,2,1,1589,47,2940,7,1,1,1
38,2018-04-17,13:53:00,13:54:00,0 days 00:01:00.000000000,0,3,2,4,2,6,2283,27,591,9,0,1,1
30,2017-03-29,08:10:00,08:17:00,0 days 00:07:00.000000000,4,2,2,4,2,6,1903,27,1357,7,1,1,1
25,2017-04-26,08:11:00,08:13:00,0 days 00:02:00.000000000,1,2,2,4,2,8,349,53,689,7,1,1,1
38,2019-02-11,06:45:00,07:25:00,0 days 00:40:00.000000000,0,4,2,4,2,6,2320,46,3936,1,0,0,0
27,2016-11-16,07:50:00,07:53:00,0 days 00:03:00.000000000,5,2,2,4,2,6,2216,14,3154,7,1,1,1
38,2018-10-03,06:25:00,06:25:00,0 days 00:00:00.000000000,0,4,2,4,2,6,2191,27,731,7,0,1,1
10,2017-03-09,07:45:00,07:49:00,0 days 00:04:00.000000000,8,2,2,4,2,6,2000,22,181,7,0,1,1
75,2019-01-16,07:18:00,07:19:00,0 days 00:01:00.000000000,3,4,1,4,2,3,151,49,524,4,0,1,1
20,2017-03-27,07:40:00,07:42:00,0 days 00:02:00.000000000,10,2,1,4,2,3,4017,15,1631,4,0,1,1
20,2016-03-10,15:05:00,15:16:00,0 days 00:11:00.000000000,0,1,2,4,2,3,4813,29,780,9,0,1,1
23,2018-10-03,06:37:00,06:47:00,0 days 00:10:00.000000000,0,4,2,4,2,6,1699,51,2113,1,0,1,1
20,2017-05-04,13:50:00,13:54:00,0 days 00:04:00.000000000,0,2,2,5,2,3,4599,55,1720,9,1,1,1
53,2018-06-01,06:33:00,06:34:00,0 days 00:01:00.000000000,0,3,2,4,2,1,1597,47,1654,7,1,1,1
45,2017-03-17,06:56:00,07:02:00,0 days 00:06:00.000000000,0,2,2,6,2,4,407,40,4424,7,0,1,1
0,2016-05-16,13:50:00,13:54:00,0 days 00:04:00.000000000,0,1,2,6,1,6,2208,47,1970,9,1,1,1
38,2017-12-06,07:04:00,07:05:00,0 days 00:01:00.000000000,0,3,2,4,2,6,2193,27,796,7,0,1,1
38,2018-09-13,07:08:00,07:09:00,0 days 00:01:00.000000000,0,4,2,4,2,6,2342,47,2940,7,1,1,1
30,2016-12-12,07:43:00,07:44:00,0 days 00:01:00.000000000,0,2,2,9,2,6,2004,40,4506,7,0,1,1
23,2019-01-16,07:02:00,07:11:00,0 days 00:09:00.000000000,2,4,2,4,2,6,2011,14,3072,7,0,1,1
30,2017-02-27,14:17:00,15:20:00,0 days 01:03:00.000000000,0,2,2,6,2,4,1247,11,2388,9,0,1,1
0,2016-03-16,07:08:00,07:10:00,0 days 00:02:00.000000000,0,1,2,6,1,9,2957,26,2399,7,1,1,1
0,2018-05-08,07:42:00,07:48:00,0 days 00:06:00.000000000,0,3,2,6,1,9,3104,10,877,1,0,1,0
30,2016-02-08,06:45:00,07:01:00,0 days 00:16:00.000000000,0,1,2,7,2,4,584,40,4540,7,0,1,1
23,2017-11-09,07:50:00,07:52:00,0 days 00:02:00.000000000,11,3,1,4,2,3,57,19,2276,4,0,1,1
23,2018-12-11,06:45:00,06:45:00,0 days 00:00:00.000000000,0,4,2,4,2,6,2190,27,579,7,0,1,1
53,2018-06-13,06:25:00,06:34:00,0 days 00:09:00.000000000,0,3,2,4,2,4,968,57,1142,7,0,1,1
40,2016-09-26,07:49:00,07:59:00,0 days 00:10:00.000000000,5,2,2,4,2,6,1856,12,399,7,0,1,0
38,2017-10-30,07:18:00,07:20:00,0 days 00:02:00.000000000,0,3,2,4,2,6,2468,27,615,7,0,1,1
12,2016-03-28,06:12:00,06:14:00,0 days 00:02:00.000000000,0,1,2,8,2,11,3723,44,3923,7,0,1,0
20,2016-06-22,08:04:00,08:05:00,0 days 00:01:00.000000000,6,1,1,4,2,3,69,19,2296,4,0,1,1
0,2016-05-26,15:20:00,15:23:00,0 days 00:03:00.000000000,1,1,2,6,1,9,3570,11,2493,9,0,1,1
25,2017-05-25,06:53:00,06:54:00,0 days 00:01:00.000000000,1,2,2,4,2,1,1413,47,1930,7,1,1,1
15,2016-01-28,06:30:00,06:31:00,0 days 00:01:00.000000000,0,1,2,4,2,3,4211,44,1342,7,0,1,0
60,2017-05-03,06:09:00,06:11:00,0 days 00:02:00.000000000,0,2,2,6,2,9,3539,18,4089,7,1,1,1
23,2018-09-06,07:49:00,07:52:00,0 days 00:03:00.000000000,4,4,2,4,2,6,2336,47,329,7,1,1,0
0,2015-10-21,07:05:00,07:15:00,0 days 00:10:00.000000000,1,1,2,7,1,4,773,11,185,7,0,1,1
30,2017-06-20,06:55:00,07:00:00,0 days 00:05:00.000000000,0,2,2,7,2,4,1249,57,3666,7,0,1,0
15,2016-12-12,07:37:00,07:38:00,0 days 00:01:00.000000000,0,2,2,9,2,4,452,26,2406,7,0,1,1
45,2016-10-27,14:20:00,14:32:00,0 days 00:12:00.000000000,0,2,2,6,2,6,2398,51,1812,3,1,1,0
30,2015-10-27,07:57:00,07:57:00,0 days 00:00:00.000000000,2,1,2,4,2,12,4057,35,1001,7,0,1,0
23,2017-10-24,07:10:00,07:11:00,0 days 00:01:00.000000000,1,3,2,4,2,4,780,17,1744,7,0,1,1
20,2015-10-21,06:37:00,06:37:00,0 days 00:00:00.000000000,2,1,2,4,2,6,2510,27,738,7,0,1,1
23,2017-12-01,07:25:00,07:29:00,0 days 00:04:00.000000000,7,3,2,4,2,3,4179,55,1709,7,1,1,1
38,2018-01-23,07:13:00,07:16:00,0 days 00:03:00.000000000,0,3,2,7,2,7,1342,53,4347,7,1,1,1
53,2018-12-04,05:59:00,06:00:00,0 days 00:01:00.000000000,0,4,2,4,2,6,2013,27,648,7,0,1,1
23,2018-02-14,06:06:00,06:07:00,0 days 00:01:00.000000000,0,3,2,4,2,11,3753,44,2767,1,0,1,0
38,2019-01-31,06:45:00,07:30:00,0 days 00:45:00.000000000,0,4,2,9,2,3,4667,30,3109,7,0,1,1
15,2016-11-14,06:16:00,06:19:00,0 days 00:03:00.000000000,0,2,2,4,2,3,4267,44,320,7,0,1,0
20,2017-03-16,14:20:00,15:00:00,0 days 00:40:00.000000000,0,2,2,4,2,6,1938,54,4584,9,1,1,1
38,2018-11-28,06:03:00,06:05:00,0 days 00:02:00.000000000,0,4,2,4,2,6,2231,47,1915,7,1,0,1
38,2018-05-17,06:30:00,06:31:00,0 days 00:01:00.000000000,0,3,2,4,2,9,2698,27,634,7,0,1,1
