Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
23,2017-10-20,08:12:00,08:14:00,0 days 00:02:00.000000000,13,3,1,4,2,2,28,16,75,4,0,1,1
30,2017-06-22,13:52:00,13:54:00,0 days 00:02:00.000000000,0,2,2,6,2,2,818,50,391,9,1,1,1
23,2017-12-04,06:34:00,06:36:00,0 days 00:02:00.000000000,0,3,2,6,2,10,952,12,865,7,1,1,1
23,2017-10-18,05:36:00,05:38:00,0 days 00:02:00.000000000,0,3,2,6,2,3,201,41,738,1,0,0,0
75,2018-10-04,15:00:00,15:25:00,0 days 00:25:00.000000000,0,4,2,7,2,10,580,27,581,7,0,1,1
10,2016-01-07,14:56:00,15:03:00,0 days 00:07:00.000000000,4,1,1,4,2,2,15,16,508,4,0,1,1
75,2018-11-16,07:25:00,07:27:00,0 days 00:02:00.000000000,0,4,2,6,2,3,251,23,665,7,0,1,1
17,2017-05-25,07:20:00,07:27:00,0 days 00:07:00.000000000,5,2,2,7,2,2,830,9,109,7,1,1,1
30,2015-12-08,12:00:00,12:40:00,0 days 00:40:00.000000000,2,1,1,7,2,3,16,45,9,4,0,1,0
38,2017-12-08,14:31:00,14:34:00,0 days 00:03:00.000000000,0,3,2,4,2,7,561,27,773,9,0,1,1
53,2017-09-11,06:16:00,06:17:00,0 days 00:01:00.000000000,0,3,2,4,2,4,363,42,426,7,1,1,1
45,2017-07-11,07:10:00,07:17:00,0 days 00:07:00.000000000,5,3,2,8,2,3,124,5,380,7,0,1,1
23,2018-12-18,09:21:00,09:23:00,0 days 00:02:00.000000000,0,4,2,4,2,2,806,39,731,1,0,1,0
30,2016-05-10,13:06:00,13:06:00,0 days 00:00:00.000000000,0,1,2,5,2,2,888,19,15,9,1,1,1
20,2017-06-27,06:20:00,06:28:00,0 days 00:08:00.000000000,0,2,2,9,2,7,647,19,113,7,0,1,1
12,2017-05-22,07:50:00,07:49:00,-1 days +23:59:00.000000000,0,2,2,4,2,2,843,16,837,7,0,1,0
25,2017-04-27,06:33:00,06:34:00,0 days 00:01:00.000000000,0,2,2,4,2,4,499,24,202,7,0,1,1
23,2018-10-03,06:15:00,06:25:00,0 days 00:10:00.000000000,0,4,1,4,2,2,739,12,86,4,0,1,1
38,2018-03-06,07:45:00,07:45:00,0 days 00:00:00.000000000,0,3,2,4,2,4,473,24,236,7,0,1,1
17,2016-12-15,07:55:00,07:56:00,0 days 00:01:00.000000000,8,2,1,7,2,3,44,23,784,4,1,1,1
30,2017-04-04,07:00:00,07:09:00,0 days 00:09:00.000000000,0,2,2,4,2,4,486,15,825,7,1,1,1
10,2017-05-02,08:04:00,08:08:00,0 days 00:04:00.000000000,15,2,1,4,2,2,29,16,799,4,0,1,1
25,2015-11-23,07:44:00,07:49:00,0 days 00:05:00.000000000,12,1,2,4,2,3,176,42,305,7,1,1,1
53,2018-10-30,08:50:00,09:09:00,0 days 00:19:00.000000000,3,4,2,4,2,4,475,24,279,7,0,1,1
20,2017-04-06,06:30:00,06:59:00,0 days 00:29:00.000000000,0,2,2,4,2,2,906,26,189,7,0,1,1
25,2017-05-22,08:05:00,08:20:00,0 days 00:15:00.000000000,5,2,1,4,2,3,733,15,81,4,1,1,1
23,2019-02-26,14:30:00,15:50:00,0 days 01:20:00.000000000,0,4,2,7,2,3,257,3,3,9,0,0,0
23,2017-11-20,07:00:00,08:16:00,0 days 01:16:00.000000000,0,3,1,7,2,3,22,23,600,4,1,1,1
30,2017-03-30,14:20:00,14:24:00,0 days 00:04:00.000000000,0,2,2,4,2,3,84,36,211,9,0,1,1
15,2016-11-01,06:10:00,06:33:00,0 days 00:23:00.000000000,0,2,2,7,2,3,207,5,490,1,0,1,0
75,2019-01-31,08:25:00,08:42:00,0 days 00:17:00.000000000,0,4,2,6,2,3,143,46,355,1,0,1,0
38,2018-11-20,11:33:00,11:35:00,0 days 00:02:00.000000000,0,4,2,4,2,4,502,24,222,7,0,1,0
38,2019-04-02,05:49:00,05:51:00,0 days 00:02:00.000000000,0,4,2,3,2,10,271,42,125,7,1,1,1
25,2017-04-27,07:47:00,07:51:00,0 days 00:04:00.000000000,6,2,2,4,2,2,911,26,648,7,0,1,1
23,2017-12-08,14:00:00,14:45:00,0 days 00:45:00.000000000,0,3,2,5,2,2,904,17,505,2,0,1,1
40,2017-05-16,15:30:00,15:32:00,0 days 00:02:00.000000000,1,2,2,4,2,4,463,37,265,9,0,0,0
30,2016-02-26,05:53:00,05:58:00,0 days 00:05:00.000000000,0,1,2,10,2,2,926,12,862,7,1,1,1
38,2018-10-15,06:45:00,06:46:00,0 days 00:01:00.000000000,0,4,2,7,2,7,608,5,432,7,0,1,1
30,2016-09-29,06:50:00,06:51:00,0 days 00:01:00.000000000,2,2,2,4,2,4,456,24,190,7,0,1,1
38,2018-05-15,14:00:00,14:08:00,0 days 00:08:00.000000000,0,3,2,4,2,10,560,27,623,9,0,1,1
20,2015-10-06,08:10:00,08:18:00,0 days 00:08:00.000000000,3,1,2,4,2,11,745,31,117,7,0,1,1
25,2016-03-02,13:46:00,13:55:00,0 days 00:09:00.000000000,0,1,2,3,2,3,94,36,747,9,0,1,1
5,2015-11-04,08:38:00,08:40:00,0 days 00:02:00.000000000,1,1,1,4,2,2,29,16,869,4,0,1,1
7,2017-09-27,07:40:00,07:41:00,0 days 00:01:00.000000000,0,3,2,4,2,9,708,39,507,1,0,1,0
53,2019-01-09,06:25:00,06:26:00,0 days 00:01:00.000000000,0,4,2,4,2,4,415,24,153,7,0,1,1
